排名,片名,上映年份,评分,评价人数,导演,类型,前20热评
1,肖申克的救赎,1994,9.7,532861,弗兰克·德拉邦特 Frank Darabont,犯罪 剧情,"1.大头绿豆《十年·肖申克的救赎》:距离斯蒂芬·金（Stephen King）和德拉邦特（Frank Darabont）们缔造这部伟大的作品已经有十年了。我知道美好的东西想必大家都能感受，但是很抱歉，我的聒噪仍将一如既往。 在我眼里，肖申克的救赎与信念、自由和友谊有关。 ［1］信 念 瑞德（Red）说，希望是危险的东西，是精...

                         (有用18866) | 2.隱居雲上《终于找到了郁闷人生的原因――观《肖申克的》:周末看了一部美国影片《肖申克的救赎》（《The Shawshank Redemption》） 讲的是一位因冤案入狱的年轻银行家在牢中如何追寻自由的故事。 不同的人看同样的影片可能都有不同的感受。对于目前无力改变现状的我，看完这部影片后最深的感受就是：才华、毅力两样，是任何人在任何境...

                         (有用13081) | 3.泠十三《《肖申克的救赎》到底“救赎”了什么？》:这篇影评可能有剧透原文转自： 我们都是肖申克里等待救赎的灵魂 01 “你来对地方了，这里人人都无罪。” Red笑着对Andy说。 这个杀妻的银行家，因谋杀妻子和她的情夫，被判处终身监禁。 尽管被关进了这座叫肖申克的监狱，他依然极力否认。 犯人经过审判，被判处有罪，他们被关进监狱。 在这里，脱...

                         (有用6481) | 4.aratana《《肖申克的救赎》：1994—2007，希》:一、缘起  从来没想过给《肖申克的救赎》写一篇影评，也许是生怕暴露自己只是个不谙世事的初级影迷，也许是对这样一部无法复制的影片真的不愿去过多地提起。然而一场出其不意的重感冒让我只能卧床裹被，已没有了力气去消化我那些故作高深、一直收着却懒得去看的电影，不期然地...

                         (有用2111) | 5.蓑笠翁《人生的过程就是一个摆脱instituti》:现在好象比较时兴将人分为体制内和体制外的人,体制外的人通常有某种优越感,似乎自己的人格才是独立的.可实际上,真正愿意做体制外的人还是很少的,而且是很痛苦的.余杰北大硕士毕业后差一点进了他想进的国家图书馆作一个体制内的人,可由于他写了一些比较反体制的文章,最后还是被...

                         (有用1491) | 6.油爆虾《《肖申克的救赎》的一些幕后花絮》:* 是否记得片尾有一行字幕""In memory of Allen Greene""？翻译成中文就是""纪念Allen Greene ""。Allen Greene是《肖申克的救赎》编导Frank Darabont的经纪人，在影片完成 的前夕死于AIDS的并发症。 　　 　　* 是否记得刚来到监狱的新囚犯们走下囚车时，嘲笑他们的人群中有一个...

                         (有用870) | 7.附离《没能力自由，谈什么自由 —— 其实你没那》:打一颗星并不是因为这部片很差，只是不明白怎么会是豆瓣电影里的头牌。用极端的踩来平衡下极端的捧。  N年前看的片子，当时觉得真不错。具体不错在哪里？或许是因为结局不错，主人公最终成功越狱到达梦想之地，观影者借以给自己希望，以为自己也能达到自由的彼处。  第一次看完...

                         (有用2734) | 8.刘泽宇《关于“救赎”》:这篇影评可能有剧透个人感觉，《肖申克的救赎》（The Shawshank Redemption）中的Redemption的意思是“赎回;偿还;补救”，因此“救赎”非常完美地解释了这部电影的主题，围绕“救赎”主题的是： 1，安迪对自己的救赎：从一开始不让自己沦陷于监狱生活（对比于和他同时入狱的胖子第一晚就受不了）...

                         (有用1212) | 9.無腳之鳥.《思想改变人生》:这篇影评可能有剧透今天是我第二次看这部电影 第一次看的时候我才十五岁，那时阅片量少，所以没有怎么看到这部电影的意义所在。只是觉得安迪好牛掰噢！然后就没有然后了 今天重看经典，真是涨了不少知识。安迪的那种精神着实让人敬畏，即使你身在监狱里，即使被判了终身监禁，你也不能对生活失去...

                         (有用982) | 10.仰山雪《经典台词整理》:1．It takes a strong man to save himself, and a great man to save another. 强者救赎自己，圣人普度他人 2．Hope is a good thing, maybe the best of things, and no good thing ever dies. 希望是美好的，也许是人间至善，而美好的事物永不消逝。 3．I fi(有用617) | 11.伊谢尔伦的风《自由之梦》:你知道，束缚越紧，梦也就会在心里勒下越深的痕迹。《肖申克的救赎》是一场关于笼中鸟如何飞往自由的梦，用我一位网友的话来说，看了它，甚至会让人觉得重生。  而在观影过程中，我反复想起的另一部电影，是《海上钢琴师1900》：这两个故事都是由小说改编；这两部电影都有和故...

                         (有用405) | 12.彩虹《为什么摩根弗里曼最后一次会被假释？》:监狱里和监狱外没有本质区别。你按部就班，安心成为社会的一个零件，既没有过多的期许，也不过分消极，该给你的，经由命运之手自然会给你，该剥夺的，经由时间之手自然会夺走。监狱里，也要想办法让犯人提高生产力，也要想办法让每个人都能生存，又不能太舒服地生存。如果瑞德...

                         (有用290) | 13.三二《越过内心的监狱》:重看此片，感受截然不同。 生活中发生的很多事情在脑海中闪回。 时间是一把刻刀，不仅雕刻额头的皱纹，也雕刻那颗脆弱的心脏。 以下为看片时候的感想： 1、道德无法约束人的行为。伤害是双向的，如果你感觉没有被爱，对方也一样。你无法保证对方因为缺爱而不出轨。 2、人首先需...

                         (有用352) | 14.Vic《Born Prisoners》:这篇影评可能有剧透第一次看这个片子还是在初中的时候，电视上一个电影欣赏节目。直到十二年之后才终于又看了第二次，认认真真的跟老婆一起看的。这十多年间耳边一直都能听到对这个片子的无穷赞美之词，今天又看到它在豆瓣上9.5分，IMDb上9.2分（第一名），确实让我非常感慨这个作品的特殊...

                         (有用300) | 15.布灵布灵《《肖申克的救赎》有哪些戳你泪点的情节？》:这篇影评可能有剧透老布出狱后的日子吧，就这个哭了，其他的都没有。蛮心疼的，被体制化的老布，就这样自杀了，就和那个乌鸦再也不回来一样，老布已经那么老了，只能被安排做那份工作还遭到讨厌，看他蹒跚的样子很心疼，不如在监狱里老死?或许吧，对于在监狱度过50年的老布来说，至少他会更踏实我...

                         (有用215) | 16.杨大志°《救赎》:You know some birds are not meant to be caged, their feathers are just too bright. 你知道，有些鸟儿是注定不会被关在牢笼里的，它们的每一片羽毛都闪耀着自由的光辉。 这些墙很有趣。刚入狱的时候，你痛恨周围的高墙；慢慢地，你习惯了生活在其中；最终你会发现自己不得...

                         (有用104) | 17.hghh《肖申克的救赎（the shawshank》:这篇影评可能有剧透用一上午的时间重温肖申克的救赎，会突然让我想起很多以前看过但在此之后的监狱题材的片子。发生在肖申克的故事竟就被这些后来之音渐渐迷糊了。无论是后来看过的泰国黑帮监狱（碟名是泰文，翻译如此），还是曾经看过的一部以锻炼和打斗为主的美国片，好像总有那些曾闪现在肖申...

                         (有用184)"
2,霸王别姬,1993,9.6,483828,陈凯歌 Kaige Chen,剧情 爱情 同性,"1.陈野犁《最懂蝶衣袁四爷》:李碧华名作《霸王别姬》，我没看过原著，只看了电影。之前东鳞西爪地听人讲过这故事，略有了解。又在电视里瞥到几眼片段。一直耿耿于怀。为了表示对这部向往已久的好片子的尊重，破天荒地买了正版影碟。然后在一个冬夜裹着棉被捧着红茶看完。  如一切李氏作品，于沧桑倒转岁月...

                         (有用25840) | 2.psyduck《关于《霸王别姬》-》:又看《霸王别姬》，不一样的环境，一样的感动。 有几大矛盾对象： 程蝶衣与段小楼 蝶衣从最开始进京剧班，就与小楼有着很深厚的感情。我们可以看到许多感人的画面：小楼受罚，黑夜冬天在院子了跪着，蝶衣则隔着窗子心疼地看着他，等小楼回来后则自己光着身子，却把被子给小楼裹...

                         (有用14024) | 3.阿底《迷恋与背叛——[霸王别姬]》:必须承认，在看这部电影之前，对国产电影有种本能的偏见，认为就是拍不过人家的大导演，拍不出人家的大手笔。当然，其实这是谬论。现在不用谁站出来批判一下我的这种情节，我自己也会毫不客气的承认。      从前对张国荣一直都没有感觉，可在[霸王别姬]里，每每看到他，都...

                         (有用5947) | 4.从嘉《胡说霸王别姬》:程蝶衣：阉割的完成  和我一起看电影的某个纯洁善良的小孩，看到小豆子被“咔”的一下剁掉了多余的手指时，作不忍目睹状。而我则一脸坏笑地想起一个词：阉割。我始终认为剁手指的一场戏在剧中一定有它的象征意义，否则根本无需设置小豆子的六指，也丝毫不影响叙事情节的进展。 ...

                         (有用5477) | 5.无糖燕麦《《霸王别姬》里的角色众生相》:这篇影评可能有剧透1. 小癞子 这个从电影一开篇，就在逮机会逃跑的小孩，一句“小癞子又跑了”，道尽了他是个逃跑的惯犯。 随着戏班剧情展开，我们会看到小癞子的日常，就是没完没了的犯错，无穷无尽的挨打。 小癞子，就是那种资质较差，童心未泯，有点调皮捣蛋的孩子，所以他挨得打比谁都多，逃...

                         (有用3656) | 6.火龙果不耐受者《戏梦人生》:·张国荣能接《霸王别姬》很大程度上要感谢黄百鸣：当时张国荣是东方院线的签约艺员，本来不可以去接拍其它公司的电影，但是作为老板的黄百鸣不但不做限制，反而大力鼓动他去接下此戏，说剧本实在太好了，“会成为你一生的代表作”，这种体贴和大度在商业社会里是非常少见的。...

                         (有用2235) | 7.何颜对故人《从另一角度看《霸王别姬》》:仔细看了很多朋友评《霸王别姬》都是从宏观上来看整部电影，或许是处于某些原因，有些话不敢说，但是我认为评电影，论史实不能回避问题，一团和气。下面简单说说我的一点看法。      李碧华原著开始就是一句——婊子无情，戏子无义。          先说一说里面的两位性工作者，...

                         (有用1916) | 8.子戈《五十年一觉虞姬梦》:《霸王别姬》是一部史诗电影。 什么叫史诗？ 其实就是通过讲述个体的命运，来折射出一段历史和一个时代的样貌。 这就是史诗电影。 除了《霸王别姬》，大陆的史诗电影，特别是平民史诗还有什么呢？ 不多，因为题材太敏感。 比如张艺谋的《活着》，田壮壮的《蓝风筝》，贾樟柯的...

                         (有用2522) | 9.♣王王《霸王别姬电影分析（一次作业）》:关于影片《霸王别姬》的分析  文学阐述 如果对《霸王别姬》用画框连缀起来的空间进行审视，陈凯歌将他的影片故事时间从1924年北洋军阀统治时期延续到文革以后，是一个横跨了半个多世纪的近代历史。在这里历史是作为人物际遇的背景，给影响空间融入时间的剧烈变动。《霸王别姬...

                         (有用1857) | 10.小之《张国荣评《霸王别姬》》:这篇影评可能有剧透對談人：關錦鵬、張國榮   去年（一九九五），關錦鵬應英國大英電影協會（BFI．British Film Institute）之邀，擔任 [紀念電影一百年全球訪談系列紀紀錄片]兩岸三地部分的製作人，為了這個重大的任務，關錦鵬走访了許多極具關鍵地位的電影工作者。   張國榮是九O年代華裔男演員...

                         (有用829) | 11.Yeah《《霸王别姬》最后程蝶衣为什么选择自刎？》:小豆子一直说错台词:我本是男儿郎，又不是女娇娥，那是他对自己性别的认同。师哥说你就把自己当成女的，但是他还是说错了。那爷来了，他这一唱，关乎这全戏班孩子年下的新衣裳。他又出错了。最先愤怒的小时石头，拿烟枪捣他的嘴，流出了鲜红的血。气氛极为紧张。而场景又立刻变...

                         (有用1082) | 12.劳谦君子《戏里的霸王，俗世的虞姬——评《霸王别姬》》:《霸王别姬》观影三遍仍觉有口难言，大到剧情结构小至细节手法，震撼处诸多却无从下手，切口太多，可谈处也极广，既怕单写一点可惜了其他灵光，又怕浅尝辄止范范了事。循印象最深处看，片子高妙之处源于技术实现与艺术效果两个层面，宏观上给观众久久难以平复的心情多在...

                         (有用1131) | 13.江行客《《霸王别姬》最后程蝶衣为什么选择自刎？》:写在前面：没想到这篇文章在现在火了，笔者也非常喜欢这个电影。公众号《侠影映画》 笔者wx：pwx1240177979欢迎和我讨论 喜欢我的文章可以关注豆瓣或者订阅下公众号。这篇文章写了三天，大概一万多字，原创不易，喜欢就点个赞。文章总体上删除了部分文革的，剩下的就是这些了。...

                         (有用999) | 14.SHANGHAI SHEK《《霸王别姬》的性暗示》:《霸王别姬》中程蝶衣的性别嬗变是贯穿全片的一条隐线，亦是推动叙事的基线。程蝶衣为虞姬生，所以他必须是女人。正是这种个性与性别的抗争，最终导致现实与历史的对抗，性别的错位才是酿成悲剧的根本动因。片中至少有以下几点符号化暗示，例证了这一嬗变的过程： 1、	入行前，...

                         (有用623) | 15.missbanana《一见霸王终生误》:这篇影评可能有剧透我想如果再让他选择 他还是会想到这个世界上走一遭 尽管这个世界与他 是这么残忍 肮脏 容他不下 他也一定不会后悔   曾为他的霸王染透眉梢 唱尽红尘 别人笑我太疯癫，我笑他人看不穿   他站在火盆边烧了他的衣裳   是他的师兄叫他到他身边躺下 那是他第一次见到霸王 也许又不是...

                         (有用468) | 16.幽人《悼痴》:“直道相思了无益，未妨惆怅是清狂”。近日忽觉忧伤来袭，郁郁终日，独饮，独思，独醉。开始怀念轻易被感动的时光，即便是幼稚单纯的哭泣。于是，这样的夜晚，终于再次沉浸于《霸王别姬》，隐隐觉得要在这一段婉转痴情中寻觅一物，以慰空寂，然而并不知心心念念的是何物。黛玉...

                         (有用436) | 17.艾小柯《关于一个眼神的感动》:这辈子第一次为一部电影感动是高一那年。学校里组织去看陈凯歌的《霸王别姬》。16岁的孩子，情窦初开懵懂年纪，真不知道当年学校让我们看如此深刻意识又前卫的电影是为了宣传什么。不管是什么原因，总之熙熙攘攘的一帮少男少女确实走进电影院，在黑暗中老老实实的坐了将近三个...

                         (有用335) | 18.小A《《霸王别姬》：拉片+极简主义评论》:这篇影评可能有剧透1993年陈凯歌导演的这部《霸王别姬》是目前为止唯一一部赢得金棕榈奖的华语片。本片的剧本质量甚高，情节编排纵横交错，层层相扣，非常复杂，各种隐喻象征交织在一起，融为一炉，堪称奇观。看罢本片，观众会得到强度很大的充盈感，观影过程中更是由于剧本编排的四通八达而实现...

                         (有用272)"
3,泰坦尼克号,1997,9.5,533654,詹姆斯·卡梅隆 James Cameron,剧情 爱情 灾难,"1.waffler22《十年一觉电影梦——泰坦尼克号十年记》:一个特殊的时代造就了［泰坦尼克］。今年11月，是［泰坦尼克］十周年，我们郑重其事回头打量，发现它在商业和文艺领域的巨大成功绝非个案这么简单。尽管就连当时华尔街分析人士也认为，若这部耗资两亿的电影成功，势必把好莱坞带进“高投资、高风险”的龙潭虎穴。 但事实是，如...

                         (有用4106) | 2.Lethe。《Nearer My God To The》:更近我主。 在死亡来临的时刻。 上帝擦去他们所有的眼泪 死亡不再有 也不再有悲伤和生死离别 不再有痛苦 因为往事已逝。 当我看见逸夫楼的公告板上写着下午放映《泰坦尼克号》时，抑制不住内心的冲动再次坐到了放映厅里——这是我第三次观看此片，也是第一次和这么多人一起看电...

                         (有用4694) | 3.柴斯卡《露丝为什么要跳海》:大概是十三年前，我在书市上买了一本封面是哈利波特的《看电影》，其中搞了一个史上最烂电影排行榜，将《泰坦尼克》排在第八。我有个特异功能就是对小时候看过的书过目不忘，所以至今仍能复述其中给出的理由：“你很难分辨出这部长达180分钟的巨制究竟是属于惊险片还是爱情片—...

                         (有用2317) | 4.沉静如海《一个被忽略的小人，卡尔》:夜深如海，我静静的躺在床上看着泰坦尼克号，不知道是第几次看了，似乎这已经变成了一个习惯，在我需要流泪的时候。 这一次，我被一个叫卡尔的小人感动了。一直似乎都将聚光灯打在主角的身上，杰克和罗丝的爱情毫无疑问的荡气回肠，每一次都恨卡尔捣乱自私，将一次次逃生的机会...

                         (有用3276) | 5.LORENZO 洛伦佐《我爱你，太美好，时间会知道》:爱情是一张票根，凭它我们乘上时光机器，穿过长长短短的岁月，寻找那么一些些曾经让我们怦然心动的回忆。爱情也是一张船票，它曾漂荡在大西洋的无垠碧海，沉入海底几万英尺的寂寞深渊。爱情还是一张电影票，它见证了十五年光阴似水，历久弥新，再次击中我们怅然若失的心。有些...

                         (有用2175) | 6.南十字《十年过后，犹记泰坦尼克》:不知不觉间，距离1997年11月1日已经过了整十年，换个说法：十年（又好几天）前，《泰坦尼克号》首映。      十年前只能用猫吱呀着拨号上网，十年后已经没人能忍受512K以下的带宽；十年前哈利波特第一部刚刚出版，十年后J.K.罗琳为眼镜魔法少年的故事画上了句号；十年前的...

                         (有用777) | 7.欧阳杨《严重剧透！》:泰坦尼克号叙述了柯布大叔年轻的时候化名杰克，潜入美女露丝的梦中，离间露丝与其龙套未婚夫的关系的经典科幻悬疑谍战大片！  作为一个年轻人，年轻的柯布显然在造梦这种高技术含量的工作上欠点火候。 果然，计划进行到一半，柯布的梦境要崩溃了！丫造出来的大船装到了冰山上！...

                         (有用786) | 8.youheisme《He saved me,in every》:He saved me,in every way that a person can be saved.这是老露丝说的一句话。很让人回味。    杰克不仅救了她的命，而且还从一个人生活的各个方面拯救了，让她找到了生命的真谛。因为杰克给了露丝活下去的勇气和信念。他虽然离开了，可是在她心里他依然守候，依然陪伴。正...

                         (有用548) | 9.小斑《姐又相信爱情了！》:嘛，大船么，都15年了趁最近3D风劲，去垫个了鼻子复出，摆明就是来抢钱的。不过这部片承载了太多的记忆，故人再来，被骗点钱去又有什么要紧。  说真的，垫过也就是这么回事啦，看上去就跟淡妆画了点鼻影差不多。当年模型做得有点穿的地方看着还是假兮兮的，灰啊雨啊雪啊之类仍...

                         (有用375) | 10.叔菜《为Titanic平反》:看到不少所谓最杰出XX部电影的榜单，总是刻意把Titanic排在外面，当时的技术、编导、音效、演员无不是超一流，就是因为当年票房太高，所以引起了不少清高人士的反感。  好电影，为什么不能是票房最高的？为什么不能是最多人喜欢的？  Titanic之后，还有哪部电影有这么大影响力...

                         (有用405) | 11.戴颖《亲爱的，97年我俩错过了这部电影》:97年，你还小，那年有一个大船沉了的电影放映，你那时候天天哼哼张学友。  然后我俩就初中高中大学毕业  你恋爱，失恋，恋爱，失恋，恋爱，失恋  恋爱，堕胎。  当你妈把包摔向你的时候，你躲在我背后抱着我哭，抽泣，像一只湿透的小动物一样，瑟瑟发抖。 可晚上，你安静地睡着...

                         (有用380) | 12.胖墩《这次，你准备好和谁看这部电影了么》:第一次看这片的时候我好像小学4,5年级的样子。大家都差不多吧，都是很幼稚的年级，还看不懂爱情啊生离死别什么的。只记得片中画素描的时候羞涩滴捂着脸，然后透过指缝间偷偷的看。好像也没哭吧。  然后长大一点读那个痞子菜的第一次亲密接触，男女主角去看电影，看的就是这一部...

                         (有用316) | 13.宁宁《Titanic：Love is an o》:时至今日来谈论《Titanic》，似乎在讲述一个古老的故事，像是在说：很久很久以前······  虽然《Titanic》已了然无新意了，不过每一次重温，都能给人不一样的感受。  以前，我一直不理解Jack ，总觉得他是个爱浪漫的男孩子，有自由的价值观，喜欢过无拘无束的生活，“To m...

                         (有用394) | 14.求求你了《泰坦尼克号》:这篇影评可能有剧透《泰坦尼克号》可以被称之为经典，不是因为它是一部感人经典的爱情片，而是导演卡梅隆在电影中隐藏那些富有深意的伏笔 关于泰坦尼克号的结局——原来我们一直不了解卡梅隆的真意，Jack和Rose最后真的在一起了 让人感动的画面无数： 提琴手们演绎着生命最后的精彩 老迈的夫妇相...

                         (有用461) | 15.泥鳅也是蛇《女性独立意识觉醒》:在影院看过两次，2d和3d版。除了感动全球的爱情和牺牲精神外，我想导演还想在片中表达一种独属那个时代的解放精神／改革精神。 片中的露丝，从一个传统的贵族小姐，逐渐成长成一个独立的女性。除了跟杰克学的“吐痰”／到下等舱和平民达成一片外，露丝本身就是一个勇于打破传统...

                         (有用270) | 16.西尔维娅小姐《Nearer, My God, to T》:14年前《泰坦尼克号》上映的时候，并不知道这是一个怎样的故事。那个年代好莱坞大片对于国人来讲似乎还是稀有的东西，至少小时候的我这样觉得。其实1997年我并没有去看《泰坦尼克号》。对于它的印象，说来可笑，竟然就是Rose的裸体以及Rose和Jack做爱的部分。10岁的我并不明白...

                         (有用239) | 17.品茗听雨轩《重温经典爱情剧的经典对白》:1、只要你装得很有钱的样子他们就会跟你套近乎。 ——《泰坦尼克号》  　　2、“Never let go!Promise me!——”——《泰坦尼克号》  　　3、赢得船票，是我一生最幸运的事，让我可认识你，认识你真荣幸，万分荣幸， 你一定要帮我，答应我活下去，答应我，你不会放弃，无论发生...

                         (有用358) | 18.China Blu《谢谢你，让我万水千山走遍》:Rose姑娘从实质上讲其实是一个“作女”。如果不是生在了那么一个婉约的束身衣时代，我觉得很有可能她会变成一个“龙纹身的女孩”，或者特立独行的独眼战地女记者，即便客死他乡，也要穿梭于炮火。  没错，她绝不是一个普通的姑娘。十五年后重看泰坦尼克，即便是我这样一个生活...

                         (有用230)"
4,阿甘正传,1994,9.5,562182,罗伯特·泽米吉斯 Robert Zemeckis,剧情 爱情,"1.kino《阿甘的爱情》:一个南阿拉巴马州的傻子阿甘，一辈子喜欢的一个女人就是珍妮，从小到大阿甘和珍妮就是好朋友，他们一起上学，一起长大，最后虽然相隔很远但是阿甘始终爱着珍妮，不管她做什么，不管她是谁，不管她变得多老多丑，不管她身在何方，阿甘始终在哪个南阿拉巴马的家里，日夜思念他的...

                         (有用11226) | 2.山河大地《飘飞的羽毛》:常常和朋友们谈起阿甘。阿甘太运气了！朋友们总是这样说。我哑然。我很奇怪，阿甘坐在那张凳子上，难道只是在告诉来来往往的陌生人：“瞧，我多运气”？     在好些年前，我曾对人生充满困惑。我不知道人活着为什么。有时候，我坐在窗台上，对自己说：我现在跳下去，与我活...

                         (有用3876) | 3.蹊默《一羽人生》:第一次看《阿甘正传》，我为片头和片尾的那片羽毛而困惑，导演以这片羽毛作为开幕式和闭幕式，究竟是在表现什么意思呢？想来想去，觉得羽毛像是阿甘的思绪，就没再深究下去了。今天看完之后，我强烈地感觉到一片飘到地上的羽毛就像一个降临到人世的生命，这片羽毛在广袤的...

                         (有用4091) | 4.阑珊《经典重温！一定有你不知道的》:这篇影评可能有剧透1。阿甘和对丹中尉说自己要做船长时，丹中尉嘲笑说如果阿甘做了船长自己就会做太空人，这为以后也埋下了一个小伏笔，因为最后丹中尉的假腿就是用造航天飞机的材料做的。  2。阿甘最后和珍妮举行婚礼时，丹中尉是站在最后，其他人都是座着的。对于失去双腿的人，能够站立着就是...

                         (有用3042) | 5.楚荆《天使之爱》:jenny总是说，阿甘，你不懂什么是爱。 可是，我觉得他是最懂得什么是爱的人。 阿甘爱妈妈。 当然，他的妈妈也确确实实是一位伟大的母亲。她用她的整个生命来爱自己的儿子，从不因为阿甘智力上的残缺而吝啬他应得的那份爱。她让阿甘一直成长得很开心，也因为这样，阿甘才能拥有...

                         (有用1963) | 6.青树夏日《看阿甘之前，一定要了解的……》:花絮：  •比尔•默里曾被考虑出演阿甘。  •拍摄时Gary Sinise(丹中尉)的腿是用蓝布包着的，这样在后期制作时可以用电脑去除。  •片中汤姆•汉克斯忘我地长跑时，他的弟弟吉姆经常在旁边伴跑。  •汤姆•汉克斯演阿甘时模仿了饰演小阿甘的Michael Conner Humph...

                         (有用599) | 7.工藤新一的猴子《阿甘的珍妮——永远的珍妮》:看到一些对《阿甘正传》中珍妮的质疑和非议，觉得有些遗憾。对于一个真实的珍妮，不能用简单片面的是与非，对与错，爱与不爱去判定，而是用一种更加宽容体谅的态度去给她一个客观全面的分析和公正。 1、阿甘的天使 对阿甘起到重要积极作用的其实就是两个女人，一个是他的母亲，...

                         (有用757) | 8.le frisson™《seeds of a conservat》:大二的时候，和一个alpha female谈起阿甘。她一脸鄙视：你还认为阿甘是白痴阿？  　　  　　我点头。  　　  　　好莱坞的聪明人把阿甘送上神坛，好像动机太过明显。表面上说圣洁的白痴（holy idiot）总可以逢凶化吉，老掉牙的motif，不过很有趣地用在风起云涌的革命年代，越战...

                         (有用462) | 9.柏邦妮《巧克力的骗局》:长大了，觉得好莱坞不好玩了。 大概是因为，总能从看起来很娱乐，很简单的电影里面，读出其他东西吧？ 那些东西使我不快。 很多感动过我的东西，也已经变质了。 比如说，再看《沉默的羔羊》， 已经不再觉得朱迪 福斯特是一个坚毅智慧的女英雄。 女人从来不是好莱坞电影行动的主...

                         (有用322) | 10.不散《上映26年，这35件事让你更懂《阿甘正传》:作者：花二刀 昨天是《阿甘正传》上映26周年的日子，提到这部电影，总绕不开第67届奥斯卡，以及《肖申克的救赎》。 在当年，两部影片同场竞技，肖申克败北。不少人扼腕痛惜，认为《阿甘正传》的胜利不过是政治正确的选择，在艺术价值上不及“肖申克”。 关于这一话题，多年争论...

                         (有用329) | 11.张大毛《是部好片 但绝不是励志片》:这部电影十多年来看了也有三四遍 有很多想法一直想说 今天组织起来 是准备好挨板砖的 不过鉴于豆瓣不是我的社交网络 被关注度极低 估计不会有什么板砖  其实就算有批评意见我也不在意 因为思维的拓展就是要依靠不同声音的碰撞 何况观点不代表立场 我可以喜欢这片同时可以提出批...

                         (有用291) | 12.背兔子的乌龟《《阿甘正传》观后感——愚人不愚》:相信很多人都看过《阿甘正传》这部片子了，虽然老，但是却仍旧十分意味深远。 阿甘是个智商只有75的低能儿，为了纠正驼背要戴矫正架。 在上校车后，所有的孩子们都不愿意和他坐在一起，只有一个叫做珍妮的女孩子愿意。这两个人的命运截然不同，但是阿甘从小就爱上了珍妮。他们...

                         (有用352) | 13.悲伤逆流成河《人生就像一盒巧克力》:这篇影评可能有剧透生命就像空中那片白色的羽毛，或迎风搏击，或随风飘荡，或翱翔太空，或坠入深渊，阿甘的人生正是如此，虽然他是一个弱智儿，但他却拥有一颗纯洁而善良的心，他永远记得的是妈妈的叮嘱： “人生就像一盒巧克力，你永远不可能事先知道你将会尝到的是什么味道。” “你必须明白，...

                         (有用198) | 14.隔壁的猪《漂泊无常的人生》:每看一部电影，里面总有一些让自己难忘的镜头。这些镜头或是对人物的刻画，或是对事件的叙述。唯有这部电影，每次想起的时候，居然只是开头的那根飘来飘去的羽毛，当然，还有伴随羽毛飞舞的那首敲击心灵的钢琴曲。。。     第一次看阿甘正传的时候还是刚上高中，看得是录像...

                         (有用159) | 15.哼哼《生命是一场奔跑》:生命就是一场终有尽头的奔跑。有时候你不停的跑，不断的跑，没有休息，却改变了其它人的生活。可是我们不知道我们为什么跑，跑向哪里，哪里是终点，又哪里是尽头。有一天，你突然停了下来，只留下了身后人愕然的表情。 阿甘的妈妈说：""it's my time , it's just my time. oh,no...

                         (有用231) | 16.异乡《转: <风中的珍妮>》:风中的珍妮  该文章系转载自《万科周刊》1998年10月12日第315期 孙子慕 　　      《阿甘正传》是我最喜欢的一部电影。《泰坦尼克号》的全球性 轰动归于平静时，我发现了后者的力量是因为将爱置于绝境，而爱情 超越了死亡。当时光像接受巨石的水面重新弥合时，我如此强烈地意 ...

                         (有用130) | 17.毛艺诺《【阿毛爬格子——影视圈】与神和好》:“你与神和好了吗？”  这是好多年前，我第一次看《阿甘正传》时，记得里面的其中一句台词。阿甘和从战场上因伤退役的中尉再次碰面时，他问的，就是这句话。在那之前，中尉是个深陷痛苦、脾气暴躁的人。在某一年的圣诞节夜晚，他看着电视里的热闹场景，自己却在电视前发着酒疯...

                         (有用160) | 18.美神经《阿甘正传》:这篇影评可能有剧透在广阔的蓝天下，一根轻盈而洁白的羽毛从天而降，缓缓地降落在阿甘的脚下。纯洁，美丽。 “阿甘，快跑。”他把自己仅有的智慧、信念、勇气集中在一起，他抛弃了所有的杂念，凭着直觉在路上不停地跑。跑出了辉煌，跑出了自己。 善良，真诚，淳朴，豁达。他没有豪言壮语，却以自...

                         (有用88) | 19.Iramus《《阿甘正传》中，阿甘是理想主义者还是一个》:阿甘并不存在，但他代表了一代美国人的生活与成长。就这个层面上阿甘是一个理想主义者的理想化身 而这部电影最动人的地方在于这些理想主义的东西在阿甘一个人身上全部实现，用一个零碎的人来代表一个时代，的确符合美国的价值观 而真正让其成为经典的是阿甘本人，一个智商低但...

                         (有用156) | 20.超级小丸子《珍妮的爱》:珍妮是个典型的悲剧人生,其一,生性善良(善良往往伴随着软弱,被动,压抑,蒙蔽等影响存在),其二,童年人格建立时的父亲性侵犯阴影(使她丧失了部分正常人格,在遇事时的处理方式和情绪都和常人有异处).两者合一,就几乎注定了她一生的悲剧.   很多人觉得珍妮不爱阿甘,因为如果爱的话...

                         (有用104)"
